name,url,original_url,channel_type,country,is_active,note
Alfred,https://www.thegreatalfred.com,https://thegreatalfred.com/product/detail.html?product_no=86&cate_no=58&display_group=1,unknown,,True,
Meclads,https://www.meclads.com,https://m.meclads.com/product/%EC%8A%A4%ED%86%A0%EB%A6%AC-mfg-story-mfg-station-jacket-olive-wonky-wear/5226/category/98/display/1/,unknown,,True,
Roa - KHATARINA_BLACK,https://www.openershop.co.kr,https://m.openershop.co.kr/product/khatarinablack/29917/category/957/display/1/,unknown,KR,True,
KAYO,https://www.ka-yo.com,https://www.ka-yo.com/kr/en/l/mens/mens-clothing/mens-down-jackets?page=2,unknown,,True,
카테고리 - 아우터 - empty,https://www.empty.seoul.kr,https://empty.seoul.kr/product/list.html?cate_no=56&page=2,unknown,,True,
ADDICTED,https://www.addictedseoul.com,https://www.addictedseoul.com/products/ally-bo-perennials-printed-hoody-black,unknown,,True,
임시직 – +81,https://www.plus81.id,https://www.plus81.id/collections/interim,unknown,,True,
NEBULA SLING BAG,https://www.aliveform.bio,https://aliveform.bio/products/nebula-bag,unknown,,True,
8DIVISION,https://www.8division.com,https://www.8division.com/product/list.html?cate_no=191,unknown,,True,
Patta,https://kr.patta.nl,https://kr.patta.nl/products/patta-x-joe-freshgoods-coalition-long-sleeve-t-shirt-black,unknown,KR,True,
BoTT - Birth of The Teenager,https://www.birthoftheteenager.com,,unknown,,True,
JACK in the NET,https://store.jb-voice.co.jp,https://store.jb-voice.co.jp/ko/products/bott-wolf-varsity-jacket-1,unknown,JP,True,
ACRMTSM ONLINE STORE,https://www.acrmtsm.jp,https://www.acrmtsm.jp/products/detail/67626,unknown,,True,
Goldwin Official Website,https://www.goldwin-global.com,https://www.goldwin-global.com/kr/,unknown,,True,
Digawel,https://store.digawel.com,https://store.digawel.com/products/pile-fleece-blouson,unknown,,True,
Unexpected Store,https://www.unexpected-store.com,https://unexpected-store.com/products/setinn-capital-crew-knit,unknown,,True,
INTERIM 正規通販｜THE NATURES,https://www.thenatures.jp,https://thenatures.jp/collections/interim,unknown,,True,
SOUTH STORE,https://www.southstore-online.com,https://southstore-online.com/ja-kr/products/studio-weareallanimals-animals-letter-cap,unknown,,True,
Story mfg.,https://www.storymfg.com,https://www.storymfg.com/collections/sale/products/grateful-tee-ls-ecru-earth-trip,unknown,,True,
Home,https://www.vinavast.co,,unknown,,True,
Roa – Slam Jam,https://www.slamjam.com,https://slamjam.com/en-kr/collections/roa,unknown,,True,
디스이즈네버댓,https://www.thisisneverthat.com,https://thisisneverthat.com/products/fw25-tnt-daniel-johnston-frogs-leather-flight-jacket,unknown,,True,
All Item – NƏW LIGHT,https://www.new-light-okinawa.com,https://new-light-okinawa.com/en/collections/all-item,unknown,,True,
NICENESS - a.dresser,https://www.adressershop.com,https://m.adressershop.com/product/list.html?cate_no=52&page=3,unknown,,True,
SALE - obscura,https://www.obscura-store.com,https://m.obscura-store.com/product/list.html?cate_no=401,unknown,,True,
Jacket – Tree and Branch,https://www.treeandbranch.com,https://treeandbranch.com/collections/jacket?page=11,unknown,,True,
MODE MAN,https://www.mode-man.com,https://mode-man.com/product/list.html?cate_no=50,unknown,,True,
더엑스샵,https://www.thexshop.co.kr,https://thexshop.co.kr/category/rassvet/1517/?page=1,unknown,KR,True,
로구스 온라인 숍 SUGAR CANE,https://www.rogues.co.jp,https://www.rogues.co.jp/smartphone/detail.html?id=000000005471,unknown,JP,True,
CAYL,https://www.cayl.co.kr,https://cayl.co.kr/product/down-jacket-non-hoody-black/3091/category/47/display/1/,unknown,KR,True,
스컬프스토어,https://www.sculpstore.com,https://sculpstore.com/product/l-s.html?cate_no=2792&page=3,unknown,,True,
BIZZARE,https://www.bizzare.co.kr,https://bizzare.co.kr/Brands.html?cate_no=334,unknown,KR,True,
elephant TRIBAL fabrics,https://elephab.buyshop.jp,,unknown,,True,
All Products – MSI STORE,https://www.maisonshunishizawa.online,https://maisonshunishizawa.online/collections,unknown,,True,
브레슈,https://www.breche-online.com,https://breche-online.com/product/new_list.html?cate_no=24&page=14,unknown,,True,
Kerouac,https://www.kerouac.okinawa,https://kerouac.okinawa/view/category/ct52,unknown,,True,
탑스,https://www.clesste.com,https://clesste.com/ko/collections/tops?page=1,unknown,,True,
LIBERAIDERS,https://www.liberaiders.jp,https://liberaiders.jp/products/all-conditions-3layer-jacket-iii,unknown,,True,
and wander,https://www.andwander.co.kr,https://andwander.co.kr/product/list.html?cate_no=47&page=2,unknown,KR,True,
Curators of fascinating brands,https://www.thehipstore.co.uk,https://m.thehipstore.co.uk,unknown,UK,True,
Sweatshirts – CHERRY LA,https://www.cherryla.com,https://cherryla.com/collections/crewnecks,unknown,,True,
grds,https://www.grds.com,https://grds.com/product/detail.html?product_no=2166&cate_no=110&display_group=1,unknown,,True,
heritagefloss online store,https://www.heritagefloss.com,https://heritagefloss.com/product/detail.html?product_no=4226&cate_no=240&display_group=1,unknown,,True,
AXEL ARIGATO,https://www.axelarigato.com,https://axelarigato.com/sale/men,unknown,,True,
Harrods,https://www.harrods.com,https://www.harrods.com/en-ve/designers/picante,department-store,,True,검토 필요
LTTT,https://www.lttt.life,https://lttt.life/collections/all,unknown,,True,
ETC SEOUL,https://www.etcseoul.com,https://etcseoul.com/product/detail.html?product_no=43857&cate_no=1668&display_group=1,unknown,,True,
ECRU Online,https://www.ecru.co.kr,https://ecru.co.kr/product/list.html?cate_no=1795&page=2,unknown,KR,True,
Roa Hiking,https://www.roa-hiking.com,https://www.roa-hiking.com/en-kr/products/roa-clothing-roa-x-mental-athletic-hue-packable-wind-jacket-black-j335273,unknown,,True,
new in,https://www.about---blank.com,https://about---blank.com/collections/new-in,unknown,,True,
アンドフェブ,https://shop.pheb.jp,https://shop.pheb.jp/smartphone/list.html?category_code=ct478,unknown,,True,
FINAL SALE - rinostore,https://www.rinostore.co.kr,https://m.rinostore.co.kr/product/list.html?cate_no=511,unknown,KR,True,
Man - Family 3.0,https://www.family3-0.com,https://www.family3-0.com/en/collections/homme-all?page=5,unknown,,True,
MARKAWARE,https://www.markaware.jp,https://markaware.jp/collections/pants?page=2,unknown,,True,
082plus,https://www.082plus.com,https://082plus.com/ko/collections/latest?page=3,unknown,,True,
Two Frogs,https://www.twofrogsofficial.com,https://twofrogsofficial.com/collections/frontpage,unknown,,True,
COEVO,https://www.coevo.com,https://coevo.com/goods/goods_list.php?page=1&brandCd=149,unknown,,True,
enfin levé - technical clothing,https://www.enfinleve.com,https://enfinleve.com/collections/all-items?page=2,unknown,,True,
Sun Chamber Society,https://www.sunchambersociety.com,https://sunchambersociety.com/product/list.html?cate_no=149,unknown,,True,
CIOTA Online Shop,https://shop.ciota.jp,https://shop.ciota.jp/products/m-65-fshtail-parka,unknown,,True,
GOOUTSTORE,https://gooutstore.cafe24.com,https://gooutstore.cafe24.com/category/outer/34/?page=6,unknown,,True,
GREATS,https://www.greats.com,https://www.greats.com/products/the-regent-2-0-blanco-mens,unknown,,True,
MusterWerk,https://www.musterwerk-sud.com,https://musterwerk-sud.com/items/68c63a9ec4153faa737052f0,unknown,,True,
GORAL,https://www.goral-shoes.co.uk,https://www.goral-shoes.co.uk/collections/white/products/the-mellor-ii-sneakers-calfskin-nappa-white-leather-ready-to-ship,unknown,UK,True,
HL LORENZO,https://www.hlorenzo.com,https://www.hlorenzo.com/collections/namesake/products/jk-05-mp-migle-plaid-brown,unknown,,True,
Unipair,https://www.unipair.com,https://unipair.com/product/detail.html?product_no=8832&cate_no=98&display_group=1,unknown,,True,
아데쿠베,https://www.adekuver.com,https://m.adekuver.com/product/detail.html?product_no=7946&cate_no=59&display_group=1,unknown,,True,
セレクトショップ TITY 新潟,https://tity.ocnk.net,https://tity.ocnk.net/phone/product-list,unknown,,True,
Brother Brother,https://www.brotherbrother.us,https://brotherbrother.us/collections/all?page=1,unknown,,True,
BlackEyePatch,https://www.blackeyepatch.com,https://blackeyepatch.com/collections/tees?page=3,unknown,,True,
The Loop Running Supply,https://www.thelooprunning.com,https://thelooprunning.com/collections/new-new-arrival?page=2,unknown,,True,
TTTMSW,https://www.tttmsw.jp,https://www.tttmsw.jp/categories/5638057/2,unknown,,True,
032c,https://www.032c.com,https://www.032c.com/en-kr/products/hardcore-friendship-keychain-1,unknown,,True,
brownie online,https://www.brownieonline.jp,https://brownieonline.jp/products/detail/251,unknown,,True,
GOLF WANG,https://www.golfwang.com,https://golfwang.com/collections/all?page=2,unknown,,True,
T.T.O.O,https://www.thisthingofours.co.uk,https://thisthingofours.co.uk/products/f-ce-polartec-micro-fleece-pullover-brown,unknown,UK,True,
PARLOUR,https://www.parlour.kr,https://parlour.kr/product/detail.html?product_no=1386&cate_no=101&display_group=1,unknown,,True,
SOMEIT,https://someit.stores.jp,https://someit.stores.jp/?all_items=true&page=2,unknown,,True,
A.A. Spectrum,https://www.aaspectrumstore.com,https://www.aaspectrumstore.com/collections/tops?page=3,unknown,,True,
Pherrows,https://www.pherrows.tokyo,https://pherrows.tokyo/en-en/products/25w-onibikeshi2,unknown,,True,
Cole Buxton,https://www.colebuxton.com,https://www.colebuxton.com/collections/accessories?page=1,unknown,,True,
